Unnamed: 0,text,label,language,translated_text,back_translated_text
57308,？？？哪有你说的轻巧，你不知道成年改姓原则上是过不了的吗… 我就在户籍窗口旁边负责计生。只有未成年小孩还有点可能，还得各种开证明,0.0,3,"? ? ? It's not as easy as you say. Don't you know that changing your surname as an adult is in principle impossible... I am responsible for family planning next to the household registration window. It is only possible for underage children, and various certificates are required.",？ ？ ？这并不像你说的那么容易。难道你不知道成年后改姓原则上是不可能的吗……我在户籍窗口旁边负责计划生育。仅适用于未成年儿童，并需要各种证明。
57309,没有资源的屌丝阶级，人权都不会有，何分男女,0.0,3,The diaosi class has no resources and no human rights. There is no distinction between men and women.,屌丝阶层没有资源，没有人权。男女之间没有区别。
57310,然而真的就有那么多激素水平灰常高的男人呆在家里做你认为无聊的家务,0.0,3,"However, there are really so many men with extremely high hormone levels who stay at home and do household chores that you think are boring.",然而，确实有那么多荷尔蒙水平极高的男人，呆在家里做着你认为无聊的家务。
57311,另一个弄左了的就是反种族歧视更确切的说是针对非洲裔的反种族歧视。,0.0,3,"Another thing that has gone to the left is anti-racial discrimination. To be more precise, it is anti-racial discrimination against African Americans.",另一件向左转的事情是反种族歧视，更确切地说，是针对非洲裔美国人的反种族歧视。
57312,就你这尿性，当了导演还是软趴趴的无能，还是猥琐的自撸去吧,0.0,3,"You're such a piss-poor and you're still so incompetent when you become a director, so just masturbate yourself obscenely.",你这么穷，当了导演还这么无能，就猥琐自慰吧。
57313,以前我真的有点厌女思想。现在？我厌男。,0.0,3,I used to be a bit misogynistic. Now? I'm misogynistic.,我曾经有点厌恶女性。现在？我厌恶女性。
57314,保养得好男友在高考 嫩嫩的高中生不香吗 别找老男人 玩不过他的,0.0,3,A well-maintained boyfriend is taking the college entrance examination. Aren’t young high school students sweet? Don’t look for an old man. You can’t play with him.,一个保养得很好的男朋友正在参加高考。年轻的高中生不都是可爱的吗？不要找老人。你不能和他一起玩。
57315,学工科的瑟瑟发抖，不嚷嚷是因为好像从来也没人听过我的，以身作则，必要的时候给周围女性灌输一下核心价值观,0.0,3,I'm shivering as an engineering major. I don't yell because no one seems to have listened to me. I should lead by example and instill core values ​​in the women around me when necessary.,作为一名工程专业的我感到瑟瑟发抖。我没有大喊大叫，因为似乎没有人听我说话。我应该以身作则，必要时向周围的女性灌输核心价值观。
57316,"问题就是，在“男的想生女的不想生”的情况下要给男性扣上一个直男癌的帽子我也是不太懂，不是所有想要孩子的男性都是抱着传宗接代的出发点吧,就是即使比如婚前说好了不想要有一方反悔了，那就好聚好散嘛。觉得离婚的女性就受伤害了，我不懂到底是女权还是卑微,就是这个道理！我始终认为女权应该是认为男女平等而不是高于男性一等，和同志平权一样，重点是“平”。女的不想要孩子，那干嘛还要跟一个想要孩子的在一起？我始终觉得要不要孩子是一个很大的问题",0.0,3,"The problem is, I don’t understand why men should be labeled as straight men when “men want to have children but women don’t”. Not all men who want children do so for the purpose of continuing the family line, right? For example, even if you agree before marriage and don't want one party to regret it, then it's better to get together and break up. I feel that divorced women are hurt. I don’t know whether it’s feminism or humbleness. That’s the truth! I always believe that women’s rights should be based on the view that men and women are equal rather than superior to men. Like gay rights, the emphasis is on “equality.” If a woman doesn’t want children, why would she want to be with someone who does? I always feel that whether or not to have children is a big question",问题是，我不明白为什么“男人想要孩子，女人不想要孩子”，男人就应该被贴上直男的标签。并不是所有想要孩子的男人都是为了传宗接代，对吧？比如，即使婚前就同意了，不想让一方后悔，那么，还是复合、分手为好。我觉得离婚的女人受到了伤害。我不知道这是女权主义还是谦虚。这是事实！我始终认为，妇女的权利应该建立在男女平等而不是优于男性的基础上。与同性恋权利一样，重点是“平等”。如果一个女人不想要孩子，她为什么要和一个想要孩子的人在一起呢？我总觉得要不要孩子是个大问题
57317,精准//<username>我知道，这部剧是《中国夫人》对不对！,0.0,3,"Accurate//<username>I know, this drama is ""Mrs. China"", right?",准确//<用户名>我知道，这部剧是《中华夫人》吧？
